îNåéì˙,ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç~êÖó ÇÃçáåv(mm),ì˙è∆éûä‘(éûä‘),ïΩãœïóë¨(m/s),ïΩãœâ_ó (10ï™î‰)
2020/2/6,6.9,-0.4,0,9.4,4.9,2.5
2020/2/7,6.9,-2.1,0,8.4,2,7.3
2020/2/8,12.7,0.7,0,9.2,2.4,5
2020/2/9,8.3,1.2,0,9.7,4,0
2020/2/10,10.1,-0.2,0,7.3,2.2,2.8
2020/2/11,11.7,1.1,0,9.7,2.6,0.3
2020/2/12,16,1.9,0,8.8,2,7.5
2020/2/13,18.2,7.8,0,5.7,1.7,5
2020/2/14,16,8.5,0,3.1,1.7,7.5
2020/2/15,16.2,7.6,0,2.4,1.7,7.3
2020/2/16,11.8,7.8,8.5,0,1.8,10
2020/2/17,16.8,5.8,0,3.5,2.3,7.3
2020/2/18,12.5,2.8,0,9.2,2.7,2.8
2020/2/19,13.3,3.6,0,9.5,2.7,4
2020/2/20,13.1,4.7,0,4.6,2.2,7.8
2020/2/21,14.2,5.4,0,9.1,2.8,2.8
2020/2/22,18.2,6.4,2.5,4.1,4.1,6.8
2020/2/23,16,5.4,0,9.7,3.3,1.8
2020/2/24,15.4,4.6,0,9.5,2.5,3.3
2020/2/25,14.4,6.2,0,3.6,2.1,10
2020/2/26,9.4,7,3,0,2.2,10
2020/2/27,11.9,3.6,0,10.6,4.2,0.8
2020/2/28,12.4,1.9,0,9,2.7,6
2020/2/29,14.4,5.4,1,6,2.2,8
2020/3/1,17.9,6.6,0.5,9.5,2.4,7.3
2020/3/2,11.2,5.8,10,0,2.5,10
2020/3/3,17.8,5.3,0,10.1,3.2,6.5
2020/3/4,10.9,7.9,1.5,0,2.1,10
2020/3/5,13.7,6.1,1,5.9,5.1,4.8
2020/3/6,15.1,5.4,0,10.7,4,0.3
2020/3/7,10.4,5.2,1.5,0,2.4,10
2020/3/8,8.9,5.6,6,0,2.5,10
2020/3/9,19.6,7.6,0,3.9,2.7,7.5
2020/3/10,18.2,12.6,24.5,0,2.5,7.5
2020/3/11,21.4,9.8,0,7.9,3.3,6.3
2020/3/12,16.7,7,0,10,4.1,1
2020/3/13,18.7,6.8,0,7,2.4,7.5
2020/3/14,12.3,1.3,25,0,3.2,9.3
2020/3/15,12,1.8,0,8.4,2.6,4
2020/3/16,14.4,3.6,0,9.2,4.7,2
2020/3/17,12.7,2.3,0,8.4,3.3,2.5
2020/3/18,18.4,4.8,0,10.7,2.7,0.3
2020/3/19,22,6.5,1,11,3.7,2.5
2020/3/20,19.4,9.5,0,8.9,3.5,3
2020/3/21,21,7.6,0,11,2.9,0.5
2020/3/22,23.7,10.5,0,9.8,3.5,6.8
2020/3/23,14,7.7,0,2.4,2.7,8.5
2020/3/24,12.6,4.7,0,11.3,4.7,2.5
2020/3/25,16,3.4,0,11.9,3,0.5
2020/3/26,20,7.5,0,10.6,2.2,3.5
2020/3/27,22.8,9.1,0,1.4,4.7,8
2020/3/28,24.6,7.4,8.5,0.9,4.4,10
2020/3/29,7.7,0.7,51.5,0,2.8,10
2020/3/30,10.3,3.5,0,1,1.9,10
2020/3/31,12.5,8.2,0,0,1.9,10
2020/4/1,12.9,9.3,31,0,2.7,10
2020/4/2,19.4,9,0,11.9,6.2,3.8
2020/4/3,18.2,6.4,0,9.9,3.3,4.8
2020/4/4,22.3,8.6,0,11.5,3.9,0.5
2020/4/5,15.9,5.6,0,1.2,2.6,6.3
2020/4/6,18.4,6.3,0,11.3,3,4.5
2020/4/7,18,7.9,0,8.9,2.7,6.5
2020/4/8,20.2,7.9,0,11.7,2.6,2
2020/4/9,20.2,8,0.5,8.3,3.3,5
2020/4/10,17.2,7.4,0,9.9,3.8,6.8
2020/4/11,17,6.8,0.5,9,3.2,6.5
2020/4/12,14.6,7.4,6.5,0.6,2.5,10
2020/4/13,10.1,5.4,132,0,3.9,10
2020/4/14,17.2,5.5,1.5,11.8,4.7,2.5
2020/4/15,20.8,5.5,0,9.1,3.1,7.3
2020/4/16,16.3,8.6,0.5,5.9,3.7,10
2020/4/17,17.8,8.3,0.5,4.8,3,9.5
2020/4/18,16.2,9.8,89.5,0.7,3.1,8
2020/4/19,22.5,9,0,11.3,3.5,4.3
2020/4/20,10.7,8.3,15,0,2.5,9.8
2020/4/21,18.9,9,0,1.6,1.7,7
2020/4/22,19.2,8.8,0,3.4,2.3,10
2020/4/23,17,6.6,1,10,3.1,6.5
2020/4/24,18.4,6.9,0.5,7.3,3.3,7
2020/4/25,18.8,5.3,0,12.5,3.7,0
2020/4/26,24.2,11.5,0,10.5,5,7.5
2020/4/27,17.8,8.5,12.5,1.4,2.4,10
2020/4/28,19.1,8,5,5,2.1,9.5
2020/4/29,21.7,8.9,0,12.2,2.7,1.8
2020/4/30,23.9,11.7,0,11.7,3,0
2020/5/1,25.5,16.2,0,11.9,4.1,4
2020/5/2,26.9,15.3,0,12.2,2.8,0.8
2020/5/3,25.8,16.5,0,7.1,4.7,9.8
2020/5/4,22.2,17.3,2,1.5,3.1,10
2020/5/5,28.4,16.4,0,7.7,3.2,6.5
2020/5/6,17.3,14.6,19,0,2.1,10
2020/5/7,22.5,11,0.5,12.1,3.3,4.3
2020/5/8,22.1,11.1,0,10.7,3.5,3.8
2020/5/9,23,13.9,0,3.4,4.3,10
2020/5/10,25.7,17.7,1,1,5.3,10
2020/5/11,28.1,20.2,0.5,9.1,3,5.5
2020/5/12,26.5,19.1,0,4.7,2.8,10
2020/5/13,28.7,16.8,0,11.1,2.7,4.5
2020/5/14,26.2,13.8,0,12.5,3.4,4
2020/5/15,26.5,15.2,0,8.1,3.9,7.5
2020/5/16,21.7,16.4,24,0,4.1,10
2020/5/17,28.2,15.8,0,11.7,2.7,5.8
2020/5/18,20.1,18.7,2,0,2,10
2020/5/19,19.2,13.4,54.5,0,3,10
2020/5/20,15.4,10.9,3,0,2.5,10
2020/5/21,14.8,10.7,0.5,0,2,10
2020/5/22,18.1,12.8,1,0,2.4,10
2020/5/23,23.7,15.3,0,2.8,2.4,8.5
2020/5/24,26.5,15.8,0,11,3.2,6.3
2020/5/25,26.5,18.1,0,6.6,3,9.3
2020/5/26,24.3,18.6,0.5,0.2,2,9.5
2020/5/27,26.6,18.4,0,4.4,2.1,9.8
2020/5/28,25.2,12.9,9.5,3.7,2.7,8.8
2020/5/29,27.4,14.1,0,12.9,2.8,3.5
2020/5/30,27.9,17.4,0,8.9,3.2,7
2020/5/31,24.5,18.8,0,0.2,3.4,8
2020/6/1,21.2,18.5,4,0,1.8,10
2020/6/2,26.6,18.9,0,4.1,2.3,10
2020/6/3,28.5,20.9,0,6.2,2.4,9.8
2020/6/4,27.6,20.6,0,5.4,2.8,10
2020/6/5,29.9,20,0,8.1,3.3,9.3
2020/6/6,28.4,18.8,6.5,1.9,2.6,10
2020/6/7,27.2,17.4,0.5,8.6,2.9,7.5
2020/6/8,28.3,19.7,0,8.9,2.9,5.8
2020/6/9,31,20.4,0,13,3.1,7.3
2020/6/10,31.4,21.8,0,11.1,5.4,4.8
2020/6/11,30.5,22.7,10,3.5,5.9,9.5
2020/6/12,31.6,22.9,5.5,4,2.5,9
2020/6/13,24.3,19.1,35.5,0,2.2,10
2020/6/14,24,19.9,5.5,0,1.6,10
2020/6/15,32.6,21,0,7.3,2.4,9.5
2020/6/16,30.5,21.8,0,8,3.4,7.3
2020/6/17,28.8,19.3,0,13.1,3.5,4
2020/6/18,25.5,19.6,2,0,2,10
2020/6/19,19.8,18,50,0,2.2,10
2020/6/20,28.7,17.1,0,9.3,2.8,6.5
2020/6/21,26.5,17.9,2.5,1.4,2.5,10
2020/6/22,21,17.6,27.5,0,3.5,10
2020/6/23,27.2,18,3,2.7,2.6,9.3
2020/6/24,26.8,19.3,0,1.9,2.6,9.5
2020/6/25,23.3,17.9,14.5,0,1.9,10
2020/6/26,30.9,19.7,0,4.9,1.7,9
2020/6/27,29.3,22.2,0,2.6,1.9,10
2020/6/28,24.9,20.5,30,0,2,10
2020/6/29,29.8,20.1,0,10.3,3,3.5
2020/6/30,27.7,22.2,15.5,0,4.5,9.8
2020/7/1,26.7,22.7,21,0,6.5,10
2020/7/2,30.8,21.7,0.5,11.7,4.9,5.5
2020/7/3,28.7,20.3,6,1.7,2.4,10
2020/7/4,27.7,20,25.5,0.1,4,10
2020/7/5,28.1,23.2,3.5,1.7,3.3,10
2020/7/6,26.9,22.8,40.5,0.3,5.2,10
2020/7/7,29.3,25.1,0.5,0.2,6.4,10
2020/7/8,28.5,23.6,3,1.5,5.8,10
2020/7/9,26.1,22.3,14,0,3.8,10
2020/7/10,28.1,22.7,0.5,0,3.6,9.8
2020/7/11,31.2,24.8,2,2.3,5.6,10
2020/7/12,32.5,19.9,0.5,4.8,2.9,10
2020/7/13,25.2,18.7,6,0.4,3,10
2020/7/14,23.7,20.6,6,0,2.3,10
2020/7/15,22,17.7,6.5,0,2.3,10
2020/7/16,24.6,17.4,0.5,0.1,2.3,10
2020/7/17,20.6,18.1,34.5,0,2,10
2020/7/18,22,19.2,20,0,1.5,10
2020/7/19,29.3,21.4,0,6.9,2.2,5.8
2020/7/20,31.9,23.1,0,6.9,2.4,8.5
2020/7/21,29,22.5,1,0.1,2.1,10
2020/7/22,29.9,24.9,0,0.8,2.4,10
2020/7/23,26,22.1,31.5,0,1.8,10
2020/7/24,27.2,21.6,0,0,1.2,9.8
2020/7/25,27.4,23.7,23.5,0.2,2.1,10
2020/7/26,31.2,23.5,18.5,2.9,3.1,10
2020/7/27,30.7,23.9,2,0.7,3.3,10
2020/7/28,31,23.9,2,1.2,2.5,10
2020/7/29,25.6,21.3,0,0,2.9,10
2020/7/30,26.5,20.4,0,0,1.9,10
2020/7/31,29.6,22.4,1,3.2,1.6,10
2020/8/1,31.8,21.8,0.5,5.5,2.6,7.8
2020/8/2,31.5,22.6,0,6,2.4,5.5
2020/8/3,32.3,22.3,0,10.1,2.4,3.8
2020/8/4,33.1,24.5,0,10.4,2.9,4.3
2020/8/5,34.2,25.7,0,10.3,2.9,3.3
2020/8/6,33.1,25.5,0,9.7,3.9,7.8
2020/8/7,35.4,26,0,8.8,3.4,7.5
2020/8/8,32.3,25.1,0,4.7,2.7,8.3
2020/8/9,34.7,23.4,0,7.5,2.4,9.5
2020/8/10,35.2,26.9,0,8.8,2.4,10
2020/8/11,37.3,27,0,12.5,4,2.8
2020/8/12,35.8,27.3,0.5,7.2,2.5,6.8
2020/8/13,36.1,25.4,21.5,7.8,2.2,5
2020/8/14,34.2,24.9,0,8.3,2.8,2
2020/8/15,36.1,26.9,0,10,2.1,3.8
2020/8/16,35.4,28,0,9.7,2.7,7.3
2020/8/17,36.5,27.2,0,7,2.7,7.8
2020/8/18,34.3,27.8,0,4.2,2.8,8.8
2020/8/19,34.2,25.6,0,10.8,2.7,5.3
2020/8/20,34.8,25.8,0,11.1,3.2,1
2020/8/21,36,26,0,10.5,2.8,2.3
2020/8/22,35.2,24,0,8,2.7,6
2020/8/23,29.4,23.2,38,1.9,2,9.8
2020/8/24,32.3,23,0,6.7,2.7,5
2020/8/25,32.2,24.8,0,7.2,2.7,6.3
2020/8/26,34,24.3,0,10.4,2.7,6
2020/8/27,33.6,26.3,0,7.4,3.1,4.5
2020/8/28,34.5,27,0,7.7,3.3,4.3
2020/8/29,35,26.9,0,11.7,3.3,3.8
2020/8/30,34.9,26.6,0,9.4,3.3,4.5
2020/8/31,32.6,22.7,1,3.4,2.9,8.3
2020/9/1,27.4,21.9,1,0.5,2.3,10
2020/9/2,32.1,24,7.5,1.4,2.5,10
2020/9/3,32.7,26.4,3.5,4.9,4.2,8.5
2020/9/4,35.1,25.1,0,10.7,3,7.5
2020/9/5,34.2,25.3,8.5,7.3,2.8,6.5
2020/9/6,29.5,22.5,25.5,2.3,2.7,9.8
2020/9/7,31.2,24.2,19,1.4,4.4,9.5
2020/9/8,34.2,26.9,0,10.1,5.1,4
2020/9/9,33.6,25.2,0.5,11.3,3.7,2.8
2020/9/10,31.7,25.2,0,3.9,3.8,9
2020/9/11,32.5,24.9,0,6,3.1,6.8
2020/9/12,27.7,22,14.5,0,2.5,10
2020/9/13,27.8,20,0.5,1.3,2.4,7.5
2020/9/14,27.2,20.9,0.5,0.7,2.3,10
2020/9/15,27.7,20.9,0.5,2.3,2,9
2020/9/16,28.1,21.2,2,0.7,2.1,9.8
2020/9/17,28.4,22.1,0,1.1,2.1,9.5
2020/9/18,33.4,26.4,0,4.4,5.5,9
2020/9/19,27.1,22.6,0,0,2.9,8.8
2020/9/20,23.7,20.8,0.5,0,2,10
2020/9/21,26.1,19.7,0.5,3.9,2.1,6
2020/9/22,27.7,19.1,3.5,5.5,2.5,9
2020/9/23,22.7,18.6,7.5,0,2.7,10
2020/9/24,22.2,17.9,10,0,3.2,10
2020/9/25,20.8,17.8,5.5,0,3.2,10
2020/9/26,20,17.8,6,0,2.1,10
2020/9/27,23.5,17.6,0.5,1.3,1.6,9.8
2020/9/28,27.4,16,0,10.8,2.5,3.5
2020/9/29,23.1,16.7,0,3.5,3,10
2020/9/30,25.4,14.7,0,10.4,2.6,3.8
2020/10/1,24.3,17.1,1,2.2,1.7,7.8
2020/10/2,26.7,16.2,0,10.7,2.5,2.8
2020/10/3,26.3,18.4,0,3.9,1.7,8.5
2020/10/4,26.2,19.5,0,1.5,2,10
2020/10/5,24.8,20.1,0,1.5,2,10
2020/10/6,24.8,17.9,0,2.7,2.6,8.3
2020/10/7,23.9,14.6,6,3.2,2.7,8.5
2020/10/8,15.5,13.8,44,0,2.4,10
2020/10/9,15.4,13.8,38,0,2.8,10
2020/10/10,17.1,13.8,73.5,0,2.7,10
2020/10/11,23.3,17,0.5,0.4,2.7,10
2020/10/12,25.1,18.6,0,2.5,2.1,9.5
2020/10/13,26.7,19,0,4.2,2.5,8.5
2020/10/14,23.2,18.4,0,0.7,2.3,10
2020/10/15,19.7,14.7,1,0,2.7,10
2020/10/16,19.5,13.9,0,4.1,2.9,9.5
2020/10/17,16,11.5,23,0,2.2,10
2020/10/18,19.8,11.3,0.5,4.2,2.1,7
2020/10/19,17.1,11.2,9,0,2.4,7.5
2020/10/20,21,10.5,0,7.7,2.3,5.3
2020/10/21,21.6,11.9,0,7.5,2.6,4.8
2020/10/22,22.1,14.2,0,3,2.3,10
2020/10/23,17.9,14.3,8.5,0,2,10
2020/10/24,21.2,12.7,0,7.8,3.1,5
2020/10/25,21.3,11.4,0,8.4,2.6,1.5
2020/10/26,22.9,10.7,0,8.6,2,6.3
2020/10/27,20.8,13.3,0,6,2.2,8.3
2020/10/28,20.2,13.1,0,2.2,1.7,8
2020/10/29,22.8,13,0,9.7,2.9,4.8
2020/10/30,18.5,11.1,0,1.6,3.2,6.3
2020/10/31,19.2,9.2,0,9.6,2.4,0
2020/11/1,19.9,9,0,2.7,2.1,7.5
2020/11/2,23.6,11.6,2.5,2.7,1.8,8
2020/11/3,17.1,12.8,4.5,0.2,1.8,10
2020/11/4,18.6,9.8,0,8.6,3,2
2020/11/5,19.4,9.1,0,9.2,2.1,0.5
2020/11/6,16.2,10.6,0,0.4,1.7,9.8
2020/11/7,20.6,11.5,0,1.2,1.6,9.5
2020/11/8,22.4,13.5,2.5,1.1,1.8,10
2020/11/9,18.3,10.5,0,2.9,3.1,4.3
2020/11/10,16.9,8.6,0,8.7,2.4,2.8
2020/11/11,16.9,8.3,0,9.1,3.1,1.5
2020/11/12,13.1,6.2,0,0.5,2.2,7.3
2020/11/13,19,9.7,0,8.7,1.7,3.8
2020/11/14,20.3,10.4,0,9.3,2.4,0
2020/11/15,18.6,7.5,0,9.2,2.5,3.8
2020/11/16,21.4,9.1,0,9.2,1.5,3
2020/11/17,20.7,10.8,0,8.5,2.3,0.5
2020/11/18,21.4,10.3,0,8.3,2,5.3
2020/11/19,24.9,13.2,0,7,3.6,8.5
2020/11/20,23.9,18.5,0,0.4,5.5,10
2020/11/21,20.2,11.1,0,9.1,3.6,2.5
2020/11/22,19.3,8.5,0,8,2.8,1.3
2020/11/23,20.9,11.4,0,5.6,2.6,7.5
2020/11/24,13.3,10.1,0,0,2.7,10
2020/11/25,12.1,9.2,5,0,2.3,10
2020/11/26,18.6,9.2,0,8,1.5,4.8
2020/11/27,13.2,10.2,0,1.2,2.5,9.5
2020/11/28,17.3,8.8,0,8.8,3.5,5
2020/11/29,13.7,7.5,0,1.2,2,8
2020/11/30,14.9,5.2,0,6.8,1.8,6.3
2020/12/1,14.9,5.6,0,8.8,2,0.8
2020/12/2,10.2,7,8,0,2.3,9.8
2020/12/3,10.6,6.7,0,0,2.1,8
2020/12/4,13.9,5.5,0,7.1,2.1,5.3
2020/12/5,7.7,4.4,3.5,0,2.1,10
2020/12/6,13.5,4.4,0,5.8,1.6,4.8
2020/12/7,16.1,4.7,0,8.8,1.5,0.8
2020/12/8,17.2,5.8,0,6.7,2,5
2020/12/9,12.2,7.9,0,0.7,2.1,10
2020/12/10,12.2,6.9,0,0.4,2.2,7.5
2020/12/11,14.4,5.3,0,4.3,1.7,5.5
2020/12/12,15,8.3,0,2.3,2,10
2020/12/13,15.4,5.9,0,6.2,1.7,3.5
2020/12/14,13.1,5.5,0,4.6,2.7,8.5
2020/12/15,11.3,2,0,7,2.5,4.5
2020/12/16,9.6,0.5,0,6.1,1.9,2.8
2020/12/17,9.4,-0.1,0,8.9,2.7,0.3
2020/12/18,11.6,0.5,0,8.6,1.7,2.5
2020/12/19,9.4,1.6,0,2.2,2.6,5.8
2020/12/20,9.4,-0.6,0,8.9,2.8,0.8
2020/12/21,11.2,0.1,0,9,1.7,0
2020/12/22,11.7,0.5,0,8,1.8,1.8
2020/12/23,14.1,1.2,0,8.9,2,2.5
2020/12/24,12.9,2.6,0,1.7,1.9,7.5
2020/12/25,14,4.7,0,8.3,2.2,5.5
2020/12/26,11.8,1.5,0,8.8,1.7,2.3
2020/12/27,12.7,3.4,0,6.8,1.9,7.8
2020/12/28,13.5,6.2,0,4,1.6,5.5
2020/12/29,13.1,4.3,0,4.5,1.6,5.8
2020/12/30,12.3,2.7,1.5,1.6,3.4,10
2020/12/31,7.6,-0.2,0,8.9,3.3,0.8
2021/1/1,10.5,-1.3,0,8.7,1.5,0
2021/1/2,10.8,0.1,0,8.8,2,2
2021/1/3,8.4,-0.4,0,8.8,1.6,4
2021/1/4,11.4,1.3,0,7.7,1.8,4.8
2021/1/5,10,2.5,0,1,1.7,10
2021/1/6,6.8,3.9,0,0.4,2.4,10
2021/1/7,12.7,2,0,7.4,4,7.5
2021/1/8,6.5,-1.5,0,5.4,1.8,4
2021/1/9,8.4,-1.5,0,8.5,2.3,2
2021/1/10,8.1,-2.4,0,8.9,2,2.3
2021/1/11,6.5,-1.3,0,0.8,2,7.5
2021/1/12,5.7,1.2,0,0,2.3,10
2021/1/13,12.5,-0.5,0,9.1,1.8,1.3
2021/1/14,14.5,0.9,0,9,1.8,0
2021/1/15,7.6,4.9,0,0,2.1,7.5
2021/1/16,18.7,4.3,0,8.8,2.7,3.3
2021/1/17,8,4.1,0,0.2,2.2,9.8
2021/1/18,8.6,1,0,5.4,2,5
2021/1/19,9.5,1,0,9.2,4.1,0
2021/1/20,9.5,0.2,0,9.2,2.8,0.3
2021/1/21,10.7,-0.3,0,9.1,1.8,4
2021/1/22,16,1.2,0,7.7,1.4,6.5
2021/1/23,10.2,2.7,19,0,3.1,10
2021/1/24,6.5,2.3,13,0,3.6,10
2021/1/25,13.2,3.8,1.5,8.8,1.9,7.3
2021/1/26,11.2,2.7,0,2.2,1.7,5.8
2021/1/27,16.2,6.4,1,0.8,2.5,9.5
2021/1/28,7.9,0.9,9,0.2,2.5,10
2021/1/29,10.8,0.7,0,7.5,3.2,4.5
2021/1/30,9.3,0.9,0,9.4,2.9,0
2021/1/31,11.9,-0.4,0,9.4,2.6,0
2021/2/1,14,1.8,0,4.5,2.7,6.5
2021/2/2,15.6,4.3,12,4.2,3.2,7.3
2021/2/3,11.8,1,0,9,2,1.3
2021/2/4,12.6,0.6,0,9.5,2.9,0
2021/2/5,12.4,1.9,0,8.9,2.4,4
2021/2/6,15,4.2,0,9.4,1.7,1.8
